Train,Target
"[50.90669250488281, 50.58555221557617, 50.2185173034668, 50.64059829711914, 50.75071334838867, 50.42955780029297, 50.81493377685547, 51.16360473632813, 51.631568908691406, 52.0169563293457, 52.15459442138672, 52.806068420410156, 52.41150665283203, 52.27387237548828, 52.41246032714844, 53.08689498901367, 53.34735870361328, 52.93806457519531, 52.32412719726562, 52.9566650390625]",53.38457107543945
"[50.58555221557617, 50.2185173034668, 50.64059829711914, 50.75071334838867, 50.42955780029297, 50.81493377685547, 51.16360473632813, 51.631568908691406, 52.0169563293457, 52.15459442138672, 52.806068420410156, 52.41150665283203, 52.27387237548828, 52.41246032714844, 53.08689498901367, 53.34735870361328, 52.93806457519531, 52.32412719726562, 52.9566650390625, 53.38457107543945]",53.840370178222656
"[50.2185173034668, 50.64059829711914, 50.75071334838867, 50.42955780029297, 50.81493377685547, 51.16360473632813, 51.631568908691406, 52.0169563293457, 52.15459442138672, 52.806068420410156, 52.41150665283203, 52.27387237548828, 52.41246032714844, 53.08689498901367, 53.34735870361328, 52.93806457519531, 52.32412719726562, 52.9566650390625, 53.38457107543945, 53.840370178222656]",53.99850082397461
"[50.64059829711914, 50.75071334838867, 50.42955780029297, 50.81493377685547, 51.16360473632813, 51.631568908691406, 52.0169563293457, 52.15459442138672, 52.806068420410156, 52.41150665283203, 52.27387237548828, 52.41246032714844, 53.08689498901367, 53.34735870361328, 52.93806457519531, 52.32412719726562, 52.9566650390625, 53.38457107543945, 53.840370178222656, 53.99850082397461]",54.07292175292969
"[50.75071334838867, 50.42955780029297, 50.81493377685547, 51.16360473632813, 51.631568908691406, 52.0169563293457, 52.15459442138672, 52.806068420410156, 52.41150665283203, 52.27387237548828, 52.41246032714844, 53.08689498901367, 53.34735870361328, 52.93806457519531, 52.32412719726562, 52.9566650390625, 53.38457107543945, 53.840370178222656, 53.99850082397461, 54.07292175292969]",53.92407989501953
"[50.42955780029297, 50.81493377685547, 51.16360473632813, 51.631568908691406, 52.0169563293457, 52.15459442138672, 52.806068420410156, 52.41150665283203, 52.27387237548828, 52.41246032714844, 53.08689498901367, 53.34735870361328, 52.93806457519531, 52.32412719726562, 52.9566650390625, 53.38457107543945, 53.840370178222656, 53.99850082397461, 54.07292175292969, 53.92407989501953]",54.70545959472656
"[50.81493377685547, 51.16360473632813, 51.631568908691406, 52.0169563293457, 52.15459442138672, 52.806068420410156, 52.41150665283203, 52.27387237548828, 52.41246032714844, 53.08689498901367, 53.34735870361328, 52.93806457519531, 52.32412719726562, 52.9566650390625, 53.38457107543945, 53.840370178222656, 53.99850082397461, 54.07292175292969, 53.92407989501953, 54.70545959472656]",54.85429763793945
"[51.16360473632813, 51.631568908691406, 52.0169563293457, 52.15459442138672, 52.806068420410156, 52.41150665283203, 52.27387237548828, 52.41246032714844, 53.08689498901367, 53.34735870361328, 52.93806457519531, 52.32412719726562, 52.9566650390625, 53.38457107543945, 53.840370178222656, 53.99850082397461, 54.07292175292969, 53.92407989501953, 54.70545959472656, 54.85429763793945]",54.89149856567383
"[51.631568908691406, 52.0169563293457, 52.15459442138672, 52.806068420410156, 52.41150665283203, 52.27387237548828, 52.41246032714844, 53.08689498901367, 53.34735870361328, 52.93806457519531, 52.32412719726562, 52.9566650390625, 53.38457107543945, 53.840370178222656, 53.99850082397461, 54.07292175292969, 53.92407989501953, 54.70545959472656, 54.85429763793945, 54.89149856567383]",54.56592178344727
"[52.0169563293457, 52.15459442138672, 52.806068420410156, 52.41150665283203, 52.27387237548828, 52.41246032714844, 53.08689498901367, 53.34735870361328, 52.93806457519531, 52.32412719726562, 52.9566650390625, 53.38457107543945, 53.840370178222656, 53.99850082397461, 54.07292175292969, 53.92407989501953, 54.70545959472656, 54.85429763793945, 54.89149856567383, 54.56592178344727]",53.85898208618164
"[52.15459442138672, 52.806068420410156, 52.41150665283203, 52.27387237548828, 52.41246032714844, 53.08689498901367, 53.34735870361328, 52.93806457519531, 52.32412719726562, 52.9566650390625, 53.38457107543945, 53.840370178222656, 53.99850082397461, 54.07292175292969, 53.92407989501953, 54.70545959472656, 54.85429763793945, 54.89149856567383, 54.56592178344727, 53.85898208618164]",53.11480331420898
"[52.806068420410156, 52.41150665283203, 52.27387237548828, 52.41246032714844, 53.08689498901367, 53.34735870361328, 52.93806457519531, 52.32412719726562, 52.9566650390625, 53.38457107543945, 53.840370178222656, 53.99850082397461, 54.07292175292969, 53.92407989501953, 54.70545959472656, 54.85429763793945, 54.89149856567383, 54.56592178344727, 53.85898208618164, 53.11480331420898]",52.75202560424805
"[52.41150665283203, 52.27387237548828, 52.41246032714844, 53.08689498901367, 53.34735870361328, 52.93806457519531, 52.32412719726562, 52.9566650390625, 53.38457107543945, 53.840370178222656, 53.99850082397461, 54.07292175292969, 53.92407989501953, 54.70545959472656, 54.85429763793945, 54.89149856567383, 54.56592178344727, 53.85898208618164, 53.11480331420898, 52.75202560424805]",52.89155197143555
"[52.27387237548828, 52.41246032714844, 53.08689498901367, 53.34735870361328, 52.93806457519531, 52.32412719726562, 52.9566650390625, 53.38457107543945, 53.840370178222656, 53.99850082397461, 54.07292175292969, 53.92407989501953, 54.70545959472656, 54.85429763793945, 54.89149856567383, 54.56592178344727, 53.85898208618164, 53.11480331420898, 52.75202560424805, 52.89155197143555]",52.56598281860352
"[52.41246032714844, 53.08689498901367, 53.34735870361328, 52.93806457519531, 52.32412719726562, 52.9566650390625, 53.38457107543945, 53.840370178222656, 53.99850082397461, 54.07292175292969, 53.92407989501953, 54.70545959472656, 54.85429763793945, 54.89149856567383, 54.56592178344727, 53.85898208618164, 53.11480331420898, 52.75202560424805, 52.89155197143555, 52.56598281860352]",53.38457107543945
"[53.08689498901367, 53.34735870361328, 52.93806457519531, 52.32412719726562, 52.9566650390625, 53.38457107543945, 53.840370178222656, 53.99850082397461, 54.07292175292969, 53.92407989501953, 54.70545959472656, 54.85429763793945, 54.89149856567383, 54.56592178344727, 53.85898208618164, 53.11480331420898, 52.75202560424805, 52.89155197143555, 52.56598281860352, 53.38457107543945]",53.04038619995117
"[53.34735870361328, 52.93806457519531, 52.32412719726562, 52.9566650390625, 53.38457107543945, 53.840370178222656, 53.99850082397461, 54.07292175292969, 53.92407989501953, 54.70545959472656, 54.85429763793945, 54.89149856567383, 54.56592178344727, 53.85898208618164, 53.11480331420898, 52.75202560424805, 52.89155197143555, 52.56598281860352, 53.38457107543945, 53.04038619995117]",53.25433731079102
"[52.93806457519531, 52.32412719726562, 52.9566650390625, 53.38457107543945, 53.840370178222656, 53.99850082397461, 54.07292175292969, 53.92407989501953, 54.70545959472656, 54.85429763793945, 54.89149856567383, 54.56592178344727, 53.85898208618164, 53.11480331420898, 52.75202560424805, 52.89155197143555, 52.56598281860352, 53.38457107543945, 53.04038619995117, 53.25433731079102]",53.51479721069336
"[52.32412719726562, 52.9566650390625, 53.38457107543945, 53.840370178222656, 53.99850082397461, 54.07292175292969, 53.92407989501953, 54.70545959472656, 54.85429763793945, 54.89149856567383, 54.56592178344727, 53.85898208618164, 53.11480331420898, 52.75202560424805, 52.89155197143555, 52.56598281860352, 53.38457107543945, 53.04038619995117, 53.25433731079102, 53.51479721069336]",53.47758102416992
"[52.9566650390625, 53.38457107543945, 53.840370178222656, 53.99850082397461, 54.07292175292969, 53.92407989501953, 54.70545959472656, 54.85429763793945, 54.89149856567383, 54.56592178344727, 53.85898208618164, 53.11480331420898, 52.75202560424805, 52.89155197143555, 52.56598281860352, 53.38457107543945, 53.04038619995117, 53.25433731079102, 53.51479721069336, 53.47758102416992]",53.17061233520508
"[53.38457107543945, 53.840370178222656, 53.99850082397461, 54.07292175292969, 53.92407989501953, 54.70545959472656, 54.85429763793945, 54.89149856567383, 54.56592178344727, 53.85898208618164, 53.11480331420898, 52.75202560424805, 52.89155197143555, 52.56598281860352, 53.38457107543945, 53.04038619995117, 53.25433731079102, 53.51479721069336, 53.47758102416992, 53.17061233520508]",53.68223190307617
"[53.840370178222656, 53.99850082397461, 54.07292175292969, 53.92407989501953, 54.70545959472656, 54.85429763793945, 54.89149856567383, 54.56592178344727, 53.85898208618164, 53.11480331420898, 52.75202560424805, 52.89155197143555, 52.56598281860352, 53.38457107543945, 53.04038619995117, 53.25433731079102, 53.51479721069336, 53.47758102416992, 53.17061233520508, 53.68223190307617]",53.44967651367188
"[53.99850082397461, 54.07292175292969, 53.92407989501953, 54.70545959472656, 54.85429763793945, 54.89149856567383, 54.56592178344727, 53.85898208618164, 53.11480331420898, 52.75202560424805, 52.89155197143555, 52.56598281860352, 53.38457107543945, 53.04038619995117, 53.25433731079102, 53.51479721069336, 53.47758102416992, 53.17061233520508, 53.68223190307617, 53.44967651367188]",52.79853439331055
"[54.07292175292969, 53.92407989501953, 54.70545959472656, 54.85429763793945, 54.89149856567383, 54.56592178344727, 53.85898208618164, 53.11480331420898, 52.75202560424805, 52.89155197143555, 52.56598281860352, 53.38457107543945, 53.04038619995117, 53.25433731079102, 53.51479721069336, 53.47758102416992, 53.17061233520508, 53.68223190307617, 53.44967651367188, 52.79853439331055]",52.90085983276367
"[53.92407989501953, 54.70545959472656, 54.85429763793945, 54.89149856567383, 54.56592178344727, 53.85898208618164, 53.11480331420898, 52.75202560424805, 52.89155197143555, 52.56598281860352, 53.38457107543945, 53.04038619995117, 53.25433731079102, 53.51479721069336, 53.47758102416992, 53.17061233520508, 53.68223190307617, 53.44967651367188, 52.79853439331055, 52.90085983276367]",53.542701721191406
"[54.70545959472656, 54.85429763793945, 54.89149856567383, 54.56592178344727, 53.85898208618164, 53.11480331420898, 52.75202560424805, 52.89155197143555, 52.56598281860352, 53.38457107543945, 53.04038619995117, 53.25433731079102, 53.51479721069336, 53.47758102416992, 53.17061233520508, 53.68223190307617, 53.44967651367188, 52.79853439331055, 52.90085983276367, 53.542701721191406]",53.589210510253906
"[54.85429763793945, 54.89149856567383, 54.56592178344727, 53.85898208618164, 53.11480331420898, 52.75202560424805, 52.89155197143555, 52.56598281860352, 53.38457107543945, 53.04038619995117, 53.25433731079102, 53.51479721069336, 53.47758102416992, 53.17061233520508, 53.68223190307617, 53.44967651367188, 52.79853439331055, 52.90085983276367, 53.542701721191406, 53.589210510253906]",53.48688507080078
"[54.89149856567383, 54.56592178344727, 53.85898208618164, 53.11480331420898, 52.75202560424805, 52.89155197143555, 52.56598281860352, 53.38457107543945, 53.04038619995117, 53.25433731079102, 53.51479721069336, 53.47758102416992, 53.17061233520508, 53.68223190307617, 53.44967651367188, 52.79853439331055, 52.90085983276367, 53.542701721191406, 53.589210510253906, 53.48688507080078]",53.542701721191406
"[54.56592178344727, 53.85898208618164, 53.11480331420898, 52.75202560424805, 52.89155197143555, 52.56598281860352, 53.38457107543945, 53.04038619995117, 53.25433731079102, 53.51479721069336, 53.47758102416992, 53.17061233520508, 53.68223190307617, 53.44967651367188, 52.79853439331055, 52.90085983276367, 53.542701721191406, 53.589210510253906, 53.48688507080078, 53.542701721191406]",53.66362762451172
"[53.85898208618164, 53.11480331420898, 52.75202560424805, 52.89155197143555, 52.56598281860352, 53.38457107543945, 53.04038619995117, 53.25433731079102, 53.51479721069336, 53.47758102416992, 53.17061233520508, 53.68223190307617, 53.44967651367188, 52.79853439331055, 52.90085983276367, 53.542701721191406, 53.589210510253906, 53.48688507080078, 53.542701721191406, 53.66362762451172]",54.20314407348633
"[53.11480331420898, 52.75202560424805, 52.89155197143555, 52.56598281860352, 53.38457107543945, 53.04038619995117, 53.25433731079102, 53.51479721069336, 53.47758102416992, 53.17061233520508, 53.68223190307617, 53.44967651367188, 52.79853439331055, 52.90085983276367, 53.542701721191406, 53.589210510253906, 53.48688507080078, 53.542701721191406, 53.66362762451172, 54.20314407348633]",54.55662536621094
"[52.75202560424805, 52.89155197143555, 52.56598281860352, 53.38457107543945, 53.04038619995117, 53.25433731079102, 53.51479721069336, 53.47758102416992, 53.17061233520508, 53.68223190307617, 53.44967651367188, 52.79853439331055, 52.90085983276367, 53.542701721191406, 53.589210510253906, 53.48688507080078, 53.542701721191406, 53.66362762451172, 54.20314407348633, 54.55662536621094]",54.72406387329102
"[52.89155197143555, 52.56598281860352, 53.38457107543945, 53.04038619995117, 53.25433731079102, 53.51479721069336, 53.47758102416992, 53.17061233520508, 53.68223190307617, 53.44967651367188, 52.79853439331055, 52.90085983276367, 53.542701721191406, 53.589210510253906, 53.48688507080078, 53.542701721191406, 53.66362762451172, 54.20314407348633, 54.55662536621094, 54.72406387329102]",54.97521591186523
"[52.56598281860352, 53.38457107543945, 53.04038619995117, 53.25433731079102, 53.51479721069336, 53.47758102416992, 53.17061233520508, 53.68223190307617, 53.44967651367188, 52.79853439331055, 52.90085983276367, 53.542701721191406, 53.589210510253906, 53.48688507080078, 53.542701721191406, 53.66362762451172, 54.20314407348633, 54.55662536621094, 54.72406387329102, 54.97521591186523]",54.57522964477539
"[53.38457107543945, 53.04038619995117, 53.25433731079102, 53.51479721069336, 53.47758102416992, 53.17061233520508, 53.68223190307617, 53.44967651367188, 52.79853439331055, 52.90085983276367, 53.542701721191406, 53.589210510253906, 53.48688507080078, 53.542701721191406, 53.66362762451172, 54.20314407348633, 54.55662536621094, 54.72406387329102, 54.97521591186523, 54.57522964477539]",53.97989273071289
"[53.04038619995117, 53.25433731079102, 53.51479721069336, 53.47758102416992, 53.17061233520508, 53.68223190307617, 53.44967651367188, 52.79853439331055, 52.90085983276367, 53.542701721191406, 53.589210510253906, 53.48688507080078, 53.542701721191406, 53.66362762451172, 54.20314407348633, 54.55662536621094, 54.72406387329102, 54.97521591186523, 54.57522964477539, 53.97989273071289]",55.26358413696289
"[53.25433731079102, 53.51479721069336, 53.47758102416992, 53.17061233520508, 53.68223190307617, 53.44967651367188, 52.79853439331055, 52.90085983276367, 53.542701721191406, 53.589210510253906, 53.48688507080078, 53.542701721191406, 53.66362762451172, 54.20314407348633, 54.55662536621094, 54.72406387329102, 54.97521591186523, 54.57522964477539, 53.97989273071289, 55.26358413696289]",54.68685913085938
"[53.51479721069336, 53.47758102416992, 53.17061233520508, 53.68223190307617, 53.44967651367188, 52.79853439331055, 52.90085983276367, 53.542701721191406, 53.589210510253906, 53.48688507080078, 53.542701721191406, 53.66362762451172, 54.20314407348633, 54.55662536621094, 54.72406387329102, 54.97521591186523, 54.57522964477539, 53.97989273071289, 55.26358413696289, 54.68685913085938]",55.05893325805664
