Train,Target
"[36.70646286010742, 36.97476196289063, 36.66919708251953, 36.87042617797852, 37.60828018188477, 38.96473693847656, 39.18833541870117, 39.449195861816406, 42.4229736328125, 39.78458023071289, 40.50007247924805, 38.45793914794922, 38.55481719970703, 38.35358047485352, 38.71879959106445, 39.51838302612305, 39.33123016357422, 39.17403030395508, 39.166542053222656, 37.953819274902344]",36.86835861206055
"[36.97476196289063, 36.66919708251953, 36.87042617797852, 37.60828018188477, 38.96473693847656, 39.18833541870117, 39.449195861816406, 42.4229736328125, 39.78458023071289, 40.50007247924805, 38.45793914794922, 38.55481719970703, 38.35358047485352, 38.71879959106445, 39.51838302612305, 39.33123016357422, 39.17403030395508, 39.166542053222656, 37.953819274902344, 36.86835861206055]",36.80097961425781
"[36.66919708251953, 36.87042617797852, 37.60828018188477, 38.96473693847656, 39.18833541870117, 39.449195861816406, 42.4229736328125, 39.78458023071289, 40.50007247924805, 38.45793914794922, 38.55481719970703, 38.35358047485352, 38.71879959106445, 39.51838302612305, 39.33123016357422, 39.17403030395508, 39.166542053222656, 37.953819274902344, 36.86835861206055, 36.80097961425781]",36.890811920166016
"[36.87042617797852, 37.60828018188477, 38.96473693847656, 39.18833541870117, 39.449195861816406, 42.4229736328125, 39.78458023071289, 40.50007247924805, 38.45793914794922, 38.55481719970703, 38.35358047485352, 38.71879959106445, 39.51838302612305, 39.33123016357422, 39.17403030395508, 39.166542053222656, 37.953819274902344, 36.86835861206055, 36.80097961425781, 36.890811920166016]",36.86086654663086
"[37.60828018188477, 38.96473693847656, 39.18833541870117, 39.449195861816406, 42.4229736328125, 39.78458023071289, 40.50007247924805, 38.45793914794922, 38.55481719970703, 38.35358047485352, 38.71879959106445, 39.51838302612305, 39.33123016357422, 39.17403030395508, 39.166542053222656, 37.953819274902344, 36.86835861206055, 36.80097961425781, 36.890811920166016, 36.86086654663086]",36.93572616577149
"[38.96473693847656, 39.18833541870117, 39.449195861816406, 42.4229736328125, 39.78458023071289, 40.50007247924805, 38.45793914794922, 38.55481719970703, 38.35358047485352, 38.71879959106445, 39.51838302612305, 39.33123016357422, 39.17403030395508, 39.166542053222656, 37.953819274902344, 36.86835861206055, 36.80097961425781, 36.890811920166016, 36.86086654663086, 36.93572616577149]",37.23516082763672
"[39.18833541870117, 39.449195861816406, 42.4229736328125, 39.78458023071289, 40.50007247924805, 38.45793914794922, 38.55481719970703, 38.35358047485352, 38.71879959106445, 39.51838302612305, 39.33123016357422, 39.17403030395508, 39.166542053222656, 37.953819274902344, 36.86835861206055, 36.80097961425781, 36.890811920166016, 36.86086654663086, 36.93572616577149, 37.23516082763672]",37.03304290771485
"[39.449195861816406, 42.4229736328125, 39.78458023071289, 40.50007247924805, 38.45793914794922, 38.55481719970703, 38.35358047485352, 38.71879959106445, 39.51838302612305, 39.33123016357422, 39.17403030395508, 39.166542053222656, 37.953819274902344, 36.86835861206055, 36.80097961425781, 36.890811920166016, 36.86086654663086, 36.93572616577149, 37.23516082763672, 37.03304290771485]",37.07047653198242
"[42.4229736328125, 39.78458023071289, 40.50007247924805, 38.45793914794922, 38.55481719970703, 38.35358047485352, 38.71879959106445, 39.51838302612305, 39.33123016357422, 39.17403030395508, 39.166542053222656, 37.953819274902344, 36.86835861206055, 36.80097961425781, 36.890811920166016, 36.86086654663086, 36.93572616577149, 37.23516082763672, 37.03304290771485, 37.07047653198242]",36.965667724609375
"[39.78458023071289, 40.50007247924805, 38.45793914794922, 38.55481719970703, 38.35358047485352, 38.71879959106445, 39.51838302612305, 39.33123016357422, 39.17403030395508, 39.166542053222656, 37.953819274902344, 36.86835861206055, 36.80097961425781, 36.890811920166016, 36.86086654663086, 36.93572616577149, 37.23516082763672, 37.03304290771485, 37.07047653198242, 36.965667724609375]",36.55393981933594
"[40.50007247924805, 38.45793914794922, 38.55481719970703, 38.35358047485352, 38.71879959106445, 39.51838302612305, 39.33123016357422, 39.17403030395508, 39.166542053222656, 37.953819274902344, 36.86835861206055, 36.80097961425781, 36.890811920166016, 36.86086654663086, 36.93572616577149, 37.23516082763672, 37.03304290771485, 37.07047653198242, 36.965667724609375, 36.55393981933594]",36.486576080322266
