Train,Target
"[48.25819778442383, 48.0684585571289, 47.80183792114258, 47.84944534301758, 47.11623001098633, 47.335243225097656, 47.30667495727539, 47.363807678222656, 47.63043212890625, 47.90658187866211, 48.30651092529297, 48.75406265258789, 48.65883255004883, 49.06829071044922, 49.19208526611328, 49.75390243530274, 50.05861282348633, 50.10622787475586, 50.29667282104492, 50.71564483642578]",50.29667282104492
"[48.0684585571289, 47.80183792114258, 47.84944534301758, 47.11623001098633, 47.335243225097656, 47.30667495727539, 47.363807678222656, 47.63043212890625, 47.90658187866211, 48.30651092529297, 48.75406265258789, 48.65883255004883, 49.06829071044922, 49.19208526611328, 49.75390243530274, 50.05861282348633, 50.10622787475586, 50.29667282104492, 50.71564483642578, 50.29667282104492]",50.46807098388672
"[47.80183792114258, 47.84944534301758, 47.11623001098633, 47.335243225097656, 47.30667495727539, 47.363807678222656, 47.63043212890625, 47.90658187866211, 48.30651092529297, 48.75406265258789, 48.65883255004883, 49.06829071044922, 49.19208526611328, 49.75390243530274, 50.05861282348633, 50.10622787475586, 50.29667282104492, 50.71564483642578, 50.29667282104492, 50.46807098388672]",50.372840881347656
"[47.84944534301758, 47.11623001098633, 47.335243225097656, 47.30667495727539, 47.363807678222656, 47.63043212890625, 47.90658187866211, 48.30651092529297, 48.75406265258789, 48.65883255004883, 49.06829071044922, 49.19208526611328, 49.75390243530274, 50.05861282348633, 50.10622787475586, 50.29667282104492, 50.71564483642578, 50.29667282104492, 50.46807098388672, 50.372840881347656]",50.27762222290039
"[47.11623001098633, 47.335243225097656, 47.30667495727539, 47.363807678222656, 47.63043212890625, 47.90658187866211, 48.30651092529297, 48.75406265258789, 48.65883255004883, 49.06829071044922, 49.19208526611328, 49.75390243530274, 50.05861282348633, 50.10622787475586, 50.29667282104492, 50.71564483642578, 50.29667282104492, 50.46807098388672, 50.372840881347656, 50.27762222290039]",50.63947296142578
"[47.335243225097656, 47.30667495727539, 47.363807678222656, 47.63043212890625, 47.90658187866211, 48.30651092529297, 48.75406265258789, 48.65883255004883, 49.06829071044922, 49.19208526611328, 49.75390243530274, 50.05861282348633, 50.10622787475586, 50.29667282104492, 50.71564483642578, 50.29667282104492, 50.46807098388672, 50.372840881347656, 50.27762222290039, 50.63947296142578]",50.9917984008789
"[47.30667495727539, 47.363807678222656, 47.63043212890625, 47.90658187866211, 48.30651092529297, 48.75406265258789, 48.65883255004883, 49.06829071044922, 49.19208526611328, 49.75390243530274, 50.05861282348633, 50.10622787475586, 50.29667282104492, 50.71564483642578, 50.29667282104492, 50.46807098388672, 50.372840881347656, 50.27762222290039, 50.63947296142578, 50.9917984008789]",50.65851974487305
"[47.363807678222656, 47.63043212890625, 47.90658187866211, 48.30651092529297, 48.75406265258789, 48.65883255004883, 49.06829071044922, 49.19208526611328, 49.75390243530274, 50.05861282348633, 50.10622787475586, 50.29667282104492, 50.71564483642578, 50.29667282104492, 50.46807098388672, 50.372840881347656, 50.27762222290039, 50.63947296142578, 50.9917984008789, 50.65851974487305]",51.18224334716797
"[47.63043212890625, 47.90658187866211, 48.30651092529297, 48.75406265258789, 48.65883255004883, 49.06829071044922, 49.19208526611328, 49.75390243530274, 50.05861282348633, 50.10622787475586, 50.29667282104492, 50.71564483642578, 50.29667282104492, 50.46807098388672, 50.372840881347656, 50.27762222290039, 50.63947296142578, 50.9917984008789, 50.65851974487305, 51.18224334716797]",50.97274398803711
"[47.90658187866211, 48.30651092529297, 48.75406265258789, 48.65883255004883, 49.06829071044922, 49.19208526611328, 49.75390243530274, 50.05861282348633, 50.10622787475586, 50.29667282104492, 50.71564483642578, 50.29667282104492, 50.46807098388672, 50.372840881347656, 50.27762222290039, 50.63947296142578, 50.9917984008789, 50.65851974487305, 51.18224334716797, 50.97274398803711]",50.48711395263672
"[48.30651092529297, 48.75406265258789, 48.65883255004883, 49.06829071044922, 49.19208526611328, 49.75390243530274, 50.05861282348633, 50.10622787475586, 50.29667282104492, 50.71564483642578, 50.29667282104492, 50.46807098388672, 50.372840881347656, 50.27762222290039, 50.63947296142578, 50.9917984008789, 50.65851974487305, 51.18224334716797, 50.97274398803711, 50.48711395263672]",50.315711975097656
"[48.75406265258789, 48.65883255004883, 49.06829071044922, 49.19208526611328, 49.75390243530274, 50.05861282348633, 50.10622787475586, 50.29667282104492, 50.71564483642578, 50.29667282104492, 50.46807098388672, 50.372840881347656, 50.27762222290039, 50.63947296142578, 50.9917984008789, 50.65851974487305, 51.18224334716797, 50.97274398803711, 50.48711395263672, 50.315711975097656]",50.50616073608398
"[48.65883255004883, 49.06829071044922, 49.19208526611328, 49.75390243530274, 50.05861282348633, 50.10622787475586, 50.29667282104492, 50.71564483642578, 50.29667282104492, 50.46807098388672, 50.372840881347656, 50.27762222290039, 50.63947296142578, 50.9917984008789, 50.65851974487305, 51.18224334716797, 50.97274398803711, 50.48711395263672, 50.315711975097656, 50.50616073608398]",50.55377197265625
"[49.06829071044922, 49.19208526611328, 49.75390243530274, 50.05861282348633, 50.10622787475586, 50.29667282104492, 50.71564483642578, 50.29667282104492, 50.46807098388672, 50.372840881347656, 50.27762222290039, 50.63947296142578, 50.9917984008789, 50.65851974487305, 51.18224334716797, 50.97274398803711, 50.48711395263672, 50.315711975097656, 50.50616073608398, 50.55377197265625]",50.16335678100586
"[49.19208526611328, 49.75390243530274, 50.05861282348633, 50.10622787475586, 50.29667282104492, 50.71564483642578, 50.29667282104492, 50.46807098388672, 50.372840881347656, 50.27762222290039, 50.63947296142578, 50.9917984008789, 50.65851974487305, 51.18224334716797, 50.97274398803711, 50.48711395263672, 50.315711975097656, 50.50616073608398, 50.55377197265625, 50.16335678100586]",50.06813430786133
"[49.75390243530274, 50.05861282348633, 50.10622787475586, 50.29667282104492, 50.71564483642578, 50.29667282104492, 50.46807098388672, 50.372840881347656, 50.27762222290039, 50.63947296142578, 50.9917984008789, 50.65851974487305, 51.18224334716797, 50.97274398803711, 50.48711395263672, 50.315711975097656, 50.50616073608398, 50.55377197265625, 50.16335678100586, 50.06813430786133]",49.334922790527344
"[50.05861282348633, 50.10622787475586, 50.29667282104492, 50.71564483642578, 50.29667282104492, 50.46807098388672, 50.372840881347656, 50.27762222290039, 50.63947296142578, 50.9917984008789, 50.65851974487305, 51.18224334716797, 50.97274398803711, 50.48711395263672, 50.315711975097656, 50.50616073608398, 50.55377197265625, 50.16335678100586, 50.06813430786133, 49.334922790527344]",49.401573181152344
"[50.10622787475586, 50.29667282104492, 50.71564483642578, 50.29667282104492, 50.46807098388672, 50.372840881347656, 50.27762222290039, 50.63947296142578, 50.9917984008789, 50.65851974487305, 51.18224334716797, 50.97274398803711, 50.48711395263672, 50.315711975097656, 50.50616073608398, 50.55377197265625, 50.16335678100586, 50.06813430786133, 49.334922790527344, 49.401573181152344]",49.53488540649414
"[50.29667282104492, 50.71564483642578, 50.29667282104492, 50.46807098388672, 50.372840881347656, 50.27762222290039, 50.63947296142578, 50.9917984008789, 50.65851974487305, 51.18224334716797, 50.97274398803711, 50.48711395263672, 50.315711975097656, 50.50616073608398, 50.55377197265625, 50.16335678100586, 50.06813430786133, 49.334922790527344, 49.401573181152344, 49.53488540649414]",49.30635452270508
"[50.71564483642578, 50.29667282104492, 50.46807098388672, 50.372840881347656, 50.27762222290039, 50.63947296142578, 50.9917984008789, 50.65851974487305, 51.18224334716797, 50.97274398803711, 50.48711395263672, 50.315711975097656, 50.50616073608398, 50.55377197265625, 50.16335678100586, 50.06813430786133, 49.334922790527344, 49.401573181152344, 49.53488540649414, 49.30635452270508]",49.46822738647461
"[50.29667282104492, 50.46807098388672, 50.372840881347656, 50.27762222290039, 50.63947296142578, 50.9917984008789, 50.65851974487305, 51.18224334716797, 50.97274398803711, 50.48711395263672, 50.315711975097656, 50.50616073608398, 50.55377197265625, 50.16335678100586, 50.06813430786133, 49.334922790527344, 49.401573181152344, 49.53488540649414, 49.30635452270508, 49.46822738647461]",49.51584243774414
