Train,Target
"[30.170000076293945, 29.920000076293945, 29.88999938964844, 29.979999542236328, 29.96999931335449, 29.18000030517578, 29.34000015258789, 29.309999465942386, 29.70000076293945, 30.020000457763672, 29.979999542236328, 31.40999984741211, 31.04999923706055, 30.88999938964844, 31.190000534057607, 31.790000915527344, 31.71999931335449, 31.290000915527344, 30.979999542236328, 31.15999984741211]",31.06999969482422
"[29.920000076293945, 29.88999938964844, 29.979999542236328, 29.96999931335449, 29.18000030517578, 29.34000015258789, 29.309999465942386, 29.70000076293945, 30.020000457763672, 29.979999542236328, 31.40999984741211, 31.04999923706055, 30.88999938964844, 31.190000534057607, 31.790000915527344, 31.71999931335449, 31.290000915527344, 30.979999542236328, 31.15999984741211, 31.06999969482422]",31.35000038146973
"[29.88999938964844, 29.979999542236328, 29.96999931335449, 29.18000030517578, 29.34000015258789, 29.309999465942386, 29.70000076293945, 30.020000457763672, 29.979999542236328, 31.40999984741211, 31.04999923706055, 30.88999938964844, 31.190000534057607, 31.790000915527344, 31.71999931335449, 31.290000915527344, 30.979999542236328, 31.15999984741211, 31.06999969482422, 31.35000038146973]",31.440000534057607
"[29.979999542236328, 29.96999931335449, 29.18000030517578, 29.34000015258789, 29.309999465942386, 29.70000076293945, 30.020000457763672, 29.979999542236328, 31.40999984741211, 31.04999923706055, 30.88999938964844, 31.190000534057607, 31.790000915527344, 31.71999931335449, 31.290000915527344, 30.979999542236328, 31.15999984741211, 31.06999969482422, 31.35000038146973, 31.440000534057607]",31.56999969482422
"[29.96999931335449, 29.18000030517578, 29.34000015258789, 29.309999465942386, 29.70000076293945, 30.020000457763672, 29.979999542236328, 31.40999984741211, 31.04999923706055, 30.88999938964844, 31.190000534057607, 31.790000915527344, 31.71999931335449, 31.290000915527344, 30.979999542236328, 31.15999984741211, 31.06999969482422, 31.35000038146973, 31.440000534057607, 31.56999969482422]",31.5
"[29.18000030517578, 29.34000015258789, 29.309999465942386, 29.70000076293945, 30.020000457763672, 29.979999542236328, 31.40999984741211, 31.04999923706055, 30.88999938964844, 31.190000534057607, 31.790000915527344, 31.71999931335449, 31.290000915527344, 30.979999542236328, 31.15999984741211, 31.06999969482422, 31.35000038146973, 31.440000534057607, 31.56999969482422, 31.5]",31.45000076293945
"[29.34000015258789, 29.309999465942386, 29.70000076293945, 30.020000457763672, 29.979999542236328, 31.40999984741211, 31.04999923706055, 30.88999938964844, 31.190000534057607, 31.790000915527344, 31.71999931335449, 31.290000915527344, 30.979999542236328, 31.15999984741211, 31.06999969482422, 31.35000038146973, 31.440000534057607, 31.56999969482422, 31.5, 31.45000076293945]",31.239999771118164
"[29.309999465942386, 29.70000076293945, 30.020000457763672, 29.979999542236328, 31.40999984741211, 31.04999923706055, 30.88999938964844, 31.190000534057607, 31.790000915527344, 31.71999931335449, 31.290000915527344, 30.979999542236328, 31.15999984741211, 31.06999969482422, 31.35000038146973, 31.440000534057607, 31.56999969482422, 31.5, 31.45000076293945, 31.239999771118164]",31.57999992370605
"[29.70000076293945, 30.020000457763672, 29.979999542236328, 31.40999984741211, 31.04999923706055, 30.88999938964844, 31.190000534057607, 31.790000915527344, 31.71999931335449, 31.290000915527344, 30.979999542236328, 31.15999984741211, 31.06999969482422, 31.35000038146973, 31.440000534057607, 31.56999969482422, 31.5, 31.45000076293945, 31.239999771118164, 31.57999992370605]",31.18000030517578
"[30.020000457763672, 29.979999542236328, 31.40999984741211, 31.04999923706055, 30.88999938964844, 31.190000534057607, 31.790000915527344, 31.71999931335449, 31.290000915527344, 30.979999542236328, 31.15999984741211, 31.06999969482422, 31.35000038146973, 31.440000534057607, 31.56999969482422, 31.5, 31.45000076293945, 31.239999771118164, 31.57999992370605, 31.18000030517578]",30.989999771118164
"[29.979999542236328, 31.40999984741211, 31.04999923706055, 30.88999938964844, 31.190000534057607, 31.790000915527344, 31.71999931335449, 31.290000915527344, 30.979999542236328, 31.15999984741211, 31.06999969482422, 31.35000038146973, 31.440000534057607, 31.56999969482422, 31.5, 31.45000076293945, 31.239999771118164, 31.57999992370605, 31.18000030517578, 30.989999771118164]",31.270000457763672
"[31.40999984741211, 31.04999923706055, 30.88999938964844, 31.190000534057607, 31.790000915527344, 31.71999931335449, 31.290000915527344, 30.979999542236328, 31.15999984741211, 31.06999969482422, 31.35000038146973, 31.440000534057607, 31.56999969482422, 31.5, 31.45000076293945, 31.239999771118164, 31.57999992370605, 31.18000030517578, 30.989999771118164, 31.270000457763672]",31.540000915527344
"[31.04999923706055, 30.88999938964844, 31.190000534057607, 31.790000915527344, 31.71999931335449, 31.290000915527344, 30.979999542236328, 31.15999984741211, 31.06999969482422, 31.35000038146973, 31.440000534057607, 31.56999969482422, 31.5, 31.45000076293945, 31.239999771118164, 31.57999992370605, 31.18000030517578, 30.989999771118164, 31.270000457763672, 31.540000915527344]",31.45000076293945
"[30.88999938964844, 31.190000534057607, 31.790000915527344, 31.71999931335449, 31.290000915527344, 30.979999542236328, 31.15999984741211, 31.06999969482422, 31.35000038146973, 31.440000534057607, 31.56999969482422, 31.5, 31.45000076293945, 31.239999771118164, 31.57999992370605, 31.18000030517578, 30.989999771118164, 31.270000457763672, 31.540000915527344, 31.45000076293945]",31.28000068664551
"[31.190000534057607, 31.790000915527344, 31.71999931335449, 31.290000915527344, 30.979999542236328, 31.15999984741211, 31.06999969482422, 31.35000038146973, 31.440000534057607, 31.56999969482422, 31.5, 31.45000076293945, 31.239999771118164, 31.57999992370605, 31.18000030517578, 30.989999771118164, 31.270000457763672, 31.540000915527344, 31.45000076293945, 31.28000068664551]",31.51000022888184
"[31.790000915527344, 31.71999931335449, 31.290000915527344, 30.979999542236328, 31.15999984741211, 31.06999969482422, 31.35000038146973, 31.440000534057607, 31.56999969482422, 31.5, 31.45000076293945, 31.239999771118164, 31.57999992370605, 31.18000030517578, 30.989999771118164, 31.270000457763672, 31.540000915527344, 31.45000076293945, 31.28000068664551, 31.51000022888184]",31.40999984741211
"[31.71999931335449, 31.290000915527344, 30.979999542236328, 31.15999984741211, 31.06999969482422, 31.35000038146973, 31.440000534057607, 31.56999969482422, 31.5, 31.45000076293945, 31.239999771118164, 31.57999992370605, 31.18000030517578, 30.989999771118164, 31.270000457763672, 31.540000915527344, 31.45000076293945, 31.28000068664551, 31.51000022888184, 31.40999984741211]",31.790000915527344
"[31.290000915527344, 30.979999542236328, 31.15999984741211, 31.06999969482422, 31.35000038146973, 31.440000534057607, 31.56999969482422, 31.5, 31.45000076293945, 31.239999771118164, 31.57999992370605, 31.18000030517578, 30.989999771118164, 31.270000457763672, 31.540000915527344, 31.45000076293945, 31.28000068664551, 31.51000022888184, 31.40999984741211, 31.790000915527344]",31.809999465942386
"[30.979999542236328, 31.15999984741211, 31.06999969482422, 31.35000038146973, 31.440000534057607, 31.56999969482422, 31.5, 31.45000076293945, 31.239999771118164, 31.57999992370605, 31.18000030517578, 30.989999771118164, 31.270000457763672, 31.540000915527344, 31.45000076293945, 31.28000068664551, 31.51000022888184, 31.40999984741211, 31.790000915527344, 31.809999465942386]",31.6299991607666
"[31.15999984741211, 31.06999969482422, 31.35000038146973, 31.440000534057607, 31.56999969482422, 31.5, 31.45000076293945, 31.239999771118164, 31.57999992370605, 31.18000030517578, 30.989999771118164, 31.270000457763672, 31.540000915527344, 31.45000076293945, 31.28000068664551, 31.51000022888184, 31.40999984741211, 31.790000915527344, 31.809999465942386, 31.6299991607666]",30.43000030517578
"[31.06999969482422, 31.35000038146973, 31.440000534057607, 31.56999969482422, 31.5, 31.45000076293945, 31.239999771118164, 31.57999992370605, 31.18000030517578, 30.989999771118164, 31.270000457763672, 31.540000915527344, 31.45000076293945, 31.28000068664551, 31.51000022888184, 31.40999984741211, 31.790000915527344, 31.809999465942386, 31.6299991607666, 30.43000030517578]",30.96999931335449
"[31.35000038146973, 31.440000534057607, 31.56999969482422, 31.5, 31.45000076293945, 31.239999771118164, 31.57999992370605, 31.18000030517578, 30.989999771118164, 31.270000457763672, 31.540000915527344, 31.45000076293945, 31.28000068664551, 31.51000022888184, 31.40999984741211, 31.790000915527344, 31.809999465942386, 31.6299991607666, 30.43000030517578, 30.96999931335449]",30.82999992370605
"[31.440000534057607, 31.56999969482422, 31.5, 31.45000076293945, 31.239999771118164, 31.57999992370605, 31.18000030517578, 30.989999771118164, 31.270000457763672, 31.540000915527344, 31.45000076293945, 31.28000068664551, 31.51000022888184, 31.40999984741211, 31.790000915527344, 31.809999465942386, 31.6299991607666, 30.43000030517578, 30.96999931335449, 30.82999992370605]",31.09000015258789
"[31.56999969482422, 31.5, 31.45000076293945, 31.239999771118164, 31.57999992370605, 31.18000030517578, 30.989999771118164, 31.270000457763672, 31.540000915527344, 31.45000076293945, 31.28000068664551, 31.51000022888184, 31.40999984741211, 31.790000915527344, 31.809999465942386, 31.6299991607666, 30.43000030517578, 30.96999931335449, 30.82999992370605, 31.09000015258789]",31.20000076293945
"[31.5, 31.45000076293945, 31.239999771118164, 31.57999992370605, 31.18000030517578, 30.989999771118164, 31.270000457763672, 31.540000915527344, 31.45000076293945, 31.28000068664551, 31.51000022888184, 31.40999984741211, 31.790000915527344, 31.809999465942386, 31.6299991607666, 30.43000030517578, 30.96999931335449, 30.82999992370605, 31.09000015258789, 31.20000076293945]",31.190000534057607
"[31.45000076293945, 31.239999771118164, 31.57999992370605, 31.18000030517578, 30.989999771118164, 31.270000457763672, 31.540000915527344, 31.45000076293945, 31.28000068664551, 31.51000022888184, 31.40999984741211, 31.790000915527344, 31.809999465942386, 31.6299991607666, 30.43000030517578, 30.96999931335449, 30.82999992370605, 31.09000015258789, 31.20000076293945, 31.190000534057607]",31.09000015258789
"[31.239999771118164, 31.57999992370605, 31.18000030517578, 30.989999771118164, 31.270000457763672, 31.540000915527344, 31.45000076293945, 31.28000068664551, 31.51000022888184, 31.40999984741211, 31.790000915527344, 31.809999465942386, 31.6299991607666, 30.43000030517578, 30.96999931335449, 30.82999992370605, 31.09000015258789, 31.20000076293945, 31.190000534057607, 31.09000015258789]",31.1200008392334
"[31.57999992370605, 31.18000030517578, 30.989999771118164, 31.270000457763672, 31.540000915527344, 31.45000076293945, 31.28000068664551, 31.51000022888184, 31.40999984741211, 31.790000915527344, 31.809999465942386, 31.6299991607666, 30.43000030517578, 30.96999931335449, 30.82999992370605, 31.09000015258789, 31.20000076293945, 31.190000534057607, 31.09000015258789, 31.1200008392334]",31.11000061035156
"[31.18000030517578, 30.989999771118164, 31.270000457763672, 31.540000915527344, 31.45000076293945, 31.28000068664551, 31.51000022888184, 31.40999984741211, 31.790000915527344, 31.809999465942386, 31.6299991607666, 30.43000030517578, 30.96999931335449, 30.82999992370605, 31.09000015258789, 31.20000076293945, 31.190000534057607, 31.09000015258789, 31.1200008392334, 31.11000061035156]",31.40999984741211
"[30.989999771118164, 31.270000457763672, 31.540000915527344, 31.45000076293945, 31.28000068664551, 31.51000022888184, 31.40999984741211, 31.790000915527344, 31.809999465942386, 31.6299991607666, 30.43000030517578, 30.96999931335449, 30.82999992370605, 31.09000015258789, 31.20000076293945, 31.190000534057607, 31.09000015258789, 31.1200008392334, 31.11000061035156, 31.40999984741211]",31.51000022888184
"[31.270000457763672, 31.540000915527344, 31.45000076293945, 31.28000068664551, 31.51000022888184, 31.40999984741211, 31.790000915527344, 31.809999465942386, 31.6299991607666, 30.43000030517578, 30.96999931335449, 30.82999992370605, 31.09000015258789, 31.20000076293945, 31.190000534057607, 31.09000015258789, 31.1200008392334, 31.11000061035156, 31.40999984741211, 31.51000022888184]",31.54999923706055
"[31.540000915527344, 31.45000076293945, 31.28000068664551, 31.51000022888184, 31.40999984741211, 31.790000915527344, 31.809999465942386, 31.6299991607666, 30.43000030517578, 30.96999931335449, 30.82999992370605, 31.09000015258789, 31.20000076293945, 31.190000534057607, 31.09000015258789, 31.1200008392334, 31.11000061035156, 31.40999984741211, 31.51000022888184, 31.54999923706055]",31.809999465942386
"[31.45000076293945, 31.28000068664551, 31.51000022888184, 31.40999984741211, 31.790000915527344, 31.809999465942386, 31.6299991607666, 30.43000030517578, 30.96999931335449, 30.82999992370605, 31.09000015258789, 31.20000076293945, 31.190000534057607, 31.09000015258789, 31.1200008392334, 31.11000061035156, 31.40999984741211, 31.51000022888184, 31.54999923706055, 31.809999465942386]",31.88999938964844
"[31.28000068664551, 31.51000022888184, 31.40999984741211, 31.790000915527344, 31.809999465942386, 31.6299991607666, 30.43000030517578, 30.96999931335449, 30.82999992370605, 31.09000015258789, 31.20000076293945, 31.190000534057607, 31.09000015258789, 31.1200008392334, 31.11000061035156, 31.40999984741211, 31.51000022888184, 31.54999923706055, 31.809999465942386, 31.88999938964844]",31.71999931335449
