Train,Target
"[224.7813873291016, 224.71319580078125, 225.9403381347656, 225.08331298828125, 220.3013153076172, 219.0547180175781, 222.8432922363281, 221.947265625, 224.29443359375, 223.30101013183602, 225.5702667236328, 226.174072265625, 226.19357299804688, 224.36257934570312, 226.2033233642578, 228.871826171875, 228.1024475097656, 226.6902618408203, 227.4109649658203, 227.65444946289062]",224.2554626464844
"[224.71319580078125, 225.9403381347656, 225.08331298828125, 220.3013153076172, 219.0547180175781, 222.8432922363281, 221.947265625, 224.29443359375, 223.30101013183602, 225.5702667236328, 226.174072265625, 226.19357299804688, 224.36257934570312, 226.2033233642578, 228.871826171875, 228.1024475097656, 226.6902618408203, 227.4109649658203, 227.65444946289062, 224.2554626464844]",223.7003173828125
"[225.9403381347656, 225.08331298828125, 220.3013153076172, 219.0547180175781, 222.8432922363281, 221.947265625, 224.29443359375, 223.30101013183602, 225.5702667236328, 226.174072265625, 226.19357299804688, 224.36257934570312, 226.2033233642578, 228.871826171875, 228.1024475097656, 226.6902618408203, 227.4109649658203, 227.65444946289062, 224.2554626464844, 223.7003173828125]",222.15182495117188
"[225.08331298828125, 220.3013153076172, 219.0547180175781, 222.8432922363281, 221.947265625, 224.29443359375, 223.30101013183602, 225.5702667236328, 226.174072265625, 226.19357299804688, 224.36257934570312, 226.2033233642578, 228.871826171875, 228.1024475097656, 226.6902618408203, 227.4109649658203, 227.65444946289062, 224.2554626464844, 223.7003173828125, 222.15182495117188]",225.9013519287109
"[220.3013153076172, 219.0547180175781, 222.8432922363281, 221.947265625, 224.29443359375, 223.30101013183602, 225.5702667236328, 226.174072265625, 226.19357299804688, 224.36257934570312, 226.2033233642578, 228.871826171875, 228.1024475097656, 226.6902618408203, 227.4109649658203, 227.65444946289062, 224.2554626464844, 223.7003173828125, 222.15182495117188, 225.9013519287109]",225.6676483154297
"[219.0547180175781, 222.8432922363281, 221.947265625, 224.29443359375, 223.30101013183602, 225.5702667236328, 226.174072265625, 226.19357299804688, 224.36257934570312, 226.2033233642578, 228.871826171875, 228.1024475097656, 226.6902618408203, 227.4109649658203, 227.65444946289062, 224.2554626464844, 223.7003173828125, 222.15182495117188, 225.9013519287109, 225.6676483154297]",226.3494110107422
"[222.8432922363281, 221.947265625, 224.29443359375, 223.30101013183602, 225.5702667236328, 226.174072265625, 226.19357299804688, 224.36257934570312, 226.2033233642578, 228.871826171875, 228.1024475097656, 226.6902618408203, 227.4109649658203, 227.65444946289062, 224.2554626464844, 223.7003173828125, 222.15182495117188, 225.9013519287109, 225.6676483154297, 226.3494110107422]",228.34591674804688
"[221.947265625, 224.29443359375, 223.30101013183602, 225.5702667236328, 226.174072265625, 226.19357299804688, 224.36257934570312, 226.2033233642578, 228.871826171875, 228.1024475097656, 226.6902618408203, 227.4109649658203, 227.65444946289062, 224.2554626464844, 223.7003173828125, 222.15182495117188, 225.9013519287109, 225.6676483154297, 226.3494110107422, 228.34591674804688]",229.3490753173828
"[224.29443359375, 223.30101013183602, 225.5702667236328, 226.174072265625, 226.19357299804688, 224.36257934570312, 226.2033233642578, 228.871826171875, 228.1024475097656, 226.6902618408203, 227.4109649658203, 227.65444946289062, 224.2554626464844, 223.7003173828125, 222.15182495117188, 225.9013519287109, 225.6676483154297, 226.3494110107422, 228.34591674804688, 229.3490753173828]",226.89480590820312
"[223.30101013183602, 225.5702667236328, 226.174072265625, 226.19357299804688, 224.36257934570312, 226.2033233642578, 228.871826171875, 228.1024475097656, 226.6902618408203, 227.4109649658203, 227.65444946289062, 224.2554626464844, 223.7003173828125, 222.15182495117188, 225.9013519287109, 225.6676483154297, 226.3494110107422, 228.34591674804688, 229.3490753173828, 226.89480590820312]",230.05030822753903
