Train,Target
"[43.05597686767578, 43.05597686767578, 42.8181037902832, 43.34341430664063, 43.472267150878906, 42.85774993896485, 43.72005844116211, 43.90837478637695, 44.30484008789063, 44.28501510620117, 44.43369674682617, 45.49423599243164, 45.851051330566406, 45.870872497558594, 45.44467163085938, 46.197959899902344, 46.64397811889648, 46.38627624511719, 46.21778106689453, 46.20786666870117]",46.06910705566406
"[43.05597686767578, 42.8181037902832, 43.34341430664063, 43.472267150878906, 42.85774993896485, 43.72005844116211, 43.90837478637695, 44.30484008789063, 44.28501510620117, 44.43369674682617, 45.49423599243164, 45.851051330566406, 45.870872497558594, 45.44467163085938, 46.197959899902344, 46.64397811889648, 46.38627624511719, 46.21778106689453, 46.20786666870117, 46.06910705566406]",45.91051864624024
"[42.8181037902832, 43.34341430664063, 43.472267150878906, 42.85774993896485, 43.72005844116211, 43.90837478637695, 44.30484008789063, 44.28501510620117, 44.43369674682617, 45.49423599243164, 45.851051330566406, 45.870872497558594, 45.44467163085938, 46.197959899902344, 46.64397811889648, 46.38627624511719, 46.21778106689453, 46.20786666870117, 46.06910705566406, 45.91051864624024]",45.90060806274414
"[43.34341430664063, 43.472267150878906, 42.85774993896485, 43.72005844116211, 43.90837478637695, 44.30484008789063, 44.28501510620117, 44.43369674682617, 45.49423599243164, 45.851051330566406, 45.870872497558594, 45.44467163085938, 46.197959899902344, 46.64397811889648, 46.38627624511719, 46.21778106689453, 46.20786666870117, 46.06910705566406, 45.91051864624024, 45.90060806274414]",46.18804168701172
"[43.472267150878906, 42.85774993896485, 43.72005844116211, 43.90837478637695, 44.30484008789063, 44.28501510620117, 44.43369674682617, 45.49423599243164, 45.851051330566406, 45.870872497558594, 45.44467163085938, 46.197959899902344, 46.64397811889648, 46.38627624511719, 46.21778106689453, 46.20786666870117, 46.06910705566406, 45.91051864624024, 45.90060806274414, 46.18804168701172]",46.7728271484375
"[42.85774993896485, 43.72005844116211, 43.90837478637695, 44.30484008789063, 44.28501510620117, 44.43369674682617, 45.49423599243164, 45.851051330566406, 45.870872497558594, 45.44467163085938, 46.197959899902344, 46.64397811889648, 46.38627624511719, 46.21778106689453, 46.20786666870117, 46.06910705566406, 45.91051864624024, 45.90060806274414, 46.18804168701172, 46.7728271484375]",46.90167999267578
"[43.72005844116211, 43.90837478637695, 44.30484008789063, 44.28501510620117, 44.43369674682617, 45.49423599243164, 45.851051330566406, 45.870872497558594, 45.44467163085938, 46.197959899902344, 46.64397811889648, 46.38627624511719, 46.21778106689453, 46.20786666870117, 46.06910705566406, 45.91051864624024, 45.90060806274414, 46.18804168701172, 46.7728271484375, 46.90167999267578]",47.10982131958008
"[43.90837478637695, 44.30484008789063, 44.28501510620117, 44.43369674682617, 45.49423599243164, 45.851051330566406, 45.870872497558594, 45.44467163085938, 46.197959899902344, 46.64397811889648, 46.38627624511719, 46.21778106689453, 46.20786666870117, 46.06910705566406, 45.91051864624024, 45.90060806274414, 46.18804168701172, 46.7728271484375, 46.90167999267578, 47.10982131958008]",47.43690872192383
"[44.30484008789063, 44.28501510620117, 44.43369674682617, 45.49423599243164, 45.851051330566406, 45.870872497558594, 45.44467163085938, 46.197959899902344, 46.64397811889648, 46.38627624511719, 46.21778106689453, 46.20786666870117, 46.06910705566406, 45.91051864624024, 45.90060806274414, 46.18804168701172, 46.7728271484375, 46.90167999267578, 47.10982131958008, 47.43690872192383]",46.52503967285156
"[44.28501510620117, 44.43369674682617, 45.49423599243164, 45.851051330566406, 45.870872497558594, 45.44467163085938, 46.197959899902344, 46.64397811889648, 46.38627624511719, 46.21778106689453, 46.20786666870117, 46.06910705566406, 45.91051864624024, 45.90060806274414, 46.18804168701172, 46.7728271484375, 46.90167999267578, 47.10982131958008, 47.43690872192383, 46.52503967285156]",46.3565444946289
"[44.43369674682617, 45.49423599243164, 45.851051330566406, 45.870872497558594, 45.44467163085938, 46.197959899902344, 46.64397811889648, 46.38627624511719, 46.21778106689453, 46.20786666870117, 46.06910705566406, 45.91051864624024, 45.90060806274414, 46.18804168701172, 46.7728271484375, 46.90167999267578, 47.10982131958008, 47.43690872192383, 46.52503967285156, 46.3565444946289]",46.26733779907226
"[45.49423599243164, 45.851051330566406, 45.870872497558594, 45.44467163085938, 46.197959899902344, 46.64397811889648, 46.38627624511719, 46.21778106689453, 46.20786666870117, 46.06910705566406, 45.91051864624024, 45.90060806274414, 46.18804168701172, 46.7728271484375, 46.90167999267578, 47.10982131958008, 47.43690872192383, 46.52503967285156, 46.3565444946289, 46.26733779907226]",46.13848114013672
"[45.851051330566406, 45.870872497558594, 45.44467163085938, 46.197959899902344, 46.64397811889648, 46.38627624511719, 46.21778106689453, 46.20786666870117, 46.06910705566406, 45.91051864624024, 45.90060806274414, 46.18804168701172, 46.7728271484375, 46.90167999267578, 47.10982131958008, 47.43690872192383, 46.52503967285156, 46.3565444946289, 46.26733779907226, 46.13848114013672]",45.98981475830078
