Train,Target
"[183.68035888671875, 183.8462829589844, 181.95248413085938, 183.9048767089844, 180.3222503662109, 177.99891662597656, 177.71580505371094, 181.9622344970703, 180.98605346679688, 183.5241851806641, 187.1165313720703, 190.90414428710938, 189.5472869873047, 186.6577453613281, 186.0427398681641, 187.39964294433602, 187.0384521484375, 185.9646148681641, 183.514404296875, 190.1134490966797]",194.58441162109366
"[183.8462829589844, 181.95248413085938, 183.9048767089844, 180.3222503662109, 177.99891662597656, 177.71580505371094, 181.9622344970703, 180.98605346679688, 183.5241851806641, 187.1165313720703, 190.90414428710938, 189.5472869873047, 186.6577453613281, 186.0427398681641, 187.39964294433602, 187.0384521484375, 185.9646148681641, 183.514404296875, 190.1134490966797, 194.58441162109366]",197.13226318359366
"[181.95248413085938, 183.9048767089844, 180.3222503662109, 177.99891662597656, 177.71580505371094, 181.9622344970703, 180.98605346679688, 183.5241851806641, 187.1165313720703, 190.90414428710938, 189.5472869873047, 186.6577453613281, 186.0427398681641, 187.39964294433602, 187.0384521484375, 185.9646148681641, 183.514404296875, 190.1134490966797, 194.58441162109366, 197.13226318359366]",199.4751434326172
"[183.9048767089844, 180.3222503662109, 177.99891662597656, 177.71580505371094, 181.9622344970703, 180.98605346679688, 183.5241851806641, 187.1165313720703, 190.90414428710938, 189.5472869873047, 186.6577453613281, 186.0427398681641, 187.39964294433602, 187.0384521484375, 185.9646148681641, 183.514404296875, 190.1134490966797, 194.58441162109366, 197.13226318359366, 199.4751434326172]",201.24203491210938
"[180.3222503662109, 177.99891662597656, 177.71580505371094, 181.9622344970703, 180.98605346679688, 183.5241851806641, 187.1165313720703, 190.90414428710938, 189.5472869873047, 186.6577453613281, 186.0427398681641, 187.39964294433602, 187.0384521484375, 185.9646148681641, 183.514404296875, 190.1134490966797, 194.58441162109366, 197.13226318359366, 199.4751434326172, 201.24203491210938]",201.83755493164062
"[177.99891662597656, 177.71580505371094, 181.9622344970703, 180.98605346679688, 183.5241851806641, 187.1165313720703, 190.90414428710938, 189.5472869873047, 186.6577453613281, 186.0427398681641, 187.39964294433602, 187.0384521484375, 185.9646148681641, 183.514404296875, 190.1134490966797, 194.58441162109366, 197.13226318359366, 199.4751434326172, 201.24203491210938, 201.83755493164062]",202.4036865234375
"[177.71580505371094, 181.9622344970703, 180.98605346679688, 183.5241851806641, 187.1165313720703, 190.90414428710938, 189.5472869873047, 186.6577453613281, 186.0427398681641, 187.39964294433602, 187.0384521484375, 185.9646148681641, 183.514404296875, 190.1134490966797, 194.58441162109366, 197.13226318359366, 199.4751434326172, 201.24203491210938, 201.83755493164062, 202.4036865234375]",200.7832336425781
"[181.9622344970703, 180.98605346679688, 183.5241851806641, 187.1165313720703, 190.90414428710938, 189.5472869873047, 186.6577453613281, 186.0427398681641, 187.39964294433602, 187.0384521484375, 185.9646148681641, 183.514404296875, 190.1134490966797, 194.58441162109366, 197.13226318359366, 199.4751434326172, 201.24203491210938, 201.83755493164062, 202.4036865234375, 200.7832336425781]",202.9796295166016
"[180.98605346679688, 183.5241851806641, 187.1165313720703, 190.90414428710938, 189.5472869873047, 186.6577453613281, 186.0427398681641, 187.39964294433602, 187.0384521484375, 185.9646148681641, 183.514404296875, 190.1134490966797, 194.58441162109366, 197.13226318359366, 199.4751434326172, 201.24203491210938, 201.83755493164062, 202.4036865234375, 200.7832336425781, 202.9796295166016]",202.5013427734375
"[183.5241851806641, 187.1165313720703, 190.90414428710938, 189.5472869873047, 186.6577453613281, 186.0427398681641, 187.39964294433602, 187.0384521484375, 185.9646148681641, 183.514404296875, 190.1134490966797, 194.58441162109366, 197.13226318359366, 199.4751434326172, 201.24203491210938, 201.83755493164062, 202.4036865234375, 200.7832336425781, 202.9796295166016, 202.5013427734375]",197.630126953125
