Date,trend_hit
2017-05-01,59
2017-05-02,59
2017-05-03,59
2017-05-04,59
2017-05-05,59
2017-05-06,59
2017-05-07,59
2017-05-08,55
2017-05-09,55
2017-05-10,55
2017-05-11,55
2017-05-12,55
2017-05-13,55
2017-05-14,55
2017-05-15,54
2017-05-16,54
2017-05-17,54
2017-05-18,54
2017-05-19,54
2017-05-20,54
2017-05-21,54
2017-05-22,55
2017-05-23,55
2017-05-24,55
2017-05-25,55
2017-05-26,55
2017-05-27,55
2017-05-28,55
2017-05-29,55
2017-05-30,55
2017-05-31,55
2017-06-01,55
2017-06-02,55
2017-06-03,55
2017-06-04,55
2017-06-05,57
2017-06-06,57
2017-06-07,57
2017-06-08,57
2017-06-09,57
2017-06-10,57
2017-06-11,57
2017-06-12,58
2017-06-13,58
2017-06-14,58
2017-06-15,58
2017-06-16,58
2017-06-17,58
2017-06-18,58
2017-06-19,58
2017-06-20,58
2017-06-21,58
2017-06-22,58
2017-06-23,58
2017-06-24,58
2017-06-25,58
2017-06-26,58
2017-06-27,58
2017-06-28,58
2017-06-29,58
2017-06-30,58
2017-07-01,58
2017-07-02,58
2017-07-03,72
2017-07-04,72
2017-07-05,72
2017-07-06,72
2017-07-07,72
2017-07-08,72
2017-07-09,72
2017-07-10,59
2017-07-11,59
2017-07-12,59
2017-07-13,59
2017-07-14,59
2017-07-15,59
2017-07-16,59
2017-07-17,61
2017-07-18,61
2017-07-19,61
2017-07-20,61
2017-07-21,61
2017-07-22,61
2017-07-23,61
2017-07-24,61
2017-07-25,61
2017-07-26,61
2017-07-27,61
2017-07-28,61
2017-07-29,61
2017-07-30,61
2017-07-31,64
2017-08-01,64
2017-08-02,64
2017-08-03,64
2017-08-04,64
2017-08-05,64
2017-08-06,64
2017-08-07,60
2017-08-08,60
2017-08-09,60
2017-08-10,60
2017-08-11,60
2017-08-12,60
2017-08-13,60
2017-08-14,62
2017-08-15,62
2017-08-16,62
2017-08-17,62
2017-08-18,62
2017-08-19,62
2017-08-20,62
2017-08-21,62
2017-08-22,62
2017-08-23,62
2017-08-24,62
2017-08-25,62
2017-08-26,62
2017-08-27,62
2017-08-28,63
2017-08-29,63
2017-08-30,63
2017-08-31,63
2017-09-01,63
2017-09-02,63
2017-09-03,63
2017-09-04,60
2017-09-05,60
2017-09-06,60
2017-09-07,60
2017-09-08,60
2017-09-09,60
2017-09-10,60
2017-09-11,65
2017-09-12,65
2017-09-13,65
2017-09-14,65
2017-09-15,65
2017-09-16,65
2017-09-17,65
2017-09-18,62
2017-09-19,62
2017-09-20,62
2017-09-21,62
2017-09-22,62
2017-09-23,62
2017-09-24,62
2017-09-25,65
2017-09-26,65
2017-09-27,65
2017-09-28,65
2017-09-29,65
2017-09-30,65
2017-10-01,65
2017-10-02,64
2017-10-03,64
2017-10-04,64
2017-10-05,64
2017-10-06,64
2017-10-07,64
2017-10-08,64
2017-10-09,63
2017-10-10,63
2017-10-11,63
2017-10-12,63
2017-10-13,63
2017-10-14,63
2017-10-15,63
2017-10-16,63
2017-10-17,63
2017-10-18,63
2017-10-19,63
2017-10-20,63
2017-10-21,63
2017-10-22,63
2017-10-23,62
2017-10-24,62
2017-10-25,62
2017-10-26,62
2017-10-27,62
2017-10-28,62
2017-10-29,62
2017-10-30,67
2017-10-31,67
2017-11-01,67
2017-11-02,67
2017-11-03,67
2017-11-04,67
2017-11-05,67
2017-11-06,73
2017-11-07,73
2017-11-08,73
2017-11-09,73
2017-11-10,73
2017-11-11,73
2017-11-12,73
2017-11-13,95
2017-11-14,95
2017-11-15,95
2017-11-16,95
2017-11-17,95
2017-11-18,95
2017-11-19,95
2017-11-20,86
2017-11-21,86
2017-11-22,86
2017-11-23,86
2017-11-24,86
2017-11-25,86
2017-11-26,86
2017-11-27,85
2017-11-28,85
2017-11-29,85
2017-11-30,85
2017-12-01,85
2017-12-02,85
2017-12-03,85
2017-12-04,85
2017-12-05,85
2017-12-06,85
2017-12-07,85
2017-12-08,85
2017-12-09,85
2017-12-10,85
2017-12-11,81
2017-12-12,81
2017-12-13,81
2017-12-14,81
2017-12-15,81
2017-12-16,81
2017-12-17,81
2017-12-18,77
2017-12-19,77
2017-12-20,77
2017-12-21,77
2017-12-22,77
2017-12-23,77
2017-12-24,77
2017-12-25,71
2017-12-26,71
2017-12-27,71
2017-12-28,71
2017-12-29,71
2017-12-30,71
2017-12-31,71
2018-01-01,67
2018-01-02,67
2018-01-03,67
2018-01-04,67
2018-01-05,67
2018-01-06,67
2018-01-07,67
2018-01-08,64
2018-01-09,64
2018-01-10,64
2018-01-11,64
2018-01-12,64
2018-01-13,64
2018-01-14,64
2018-01-15,67
2018-01-16,67
2018-01-17,67
2018-01-18,67
2018-01-19,67
2018-01-20,67
2018-01-21,67
2018-01-22,62
2018-01-23,62
2018-01-24,62
2018-01-25,62
2018-01-26,62
2018-01-27,62
2018-01-28,62
2018-01-29,64
2018-01-30,64
2018-01-31,64
2018-02-01,64
2018-02-02,64
2018-02-03,64
2018-02-04,64
2018-02-05,59
2018-02-06,59
2018-02-07,59
2018-02-08,59
2018-02-09,59
2018-02-10,59
2018-02-11,59
2018-02-12,58
2018-02-13,58
2018-02-14,58
2018-02-15,58
2018-02-16,58
2018-02-17,58
2018-02-18,58
2018-02-19,59
2018-02-20,59
2018-02-21,59
2018-02-22,59
2018-02-23,59
2018-02-24,59
2018-02-25,59
2018-02-26,60
2018-02-27,60
2018-02-28,60
2018-03-01,60
2018-03-02,60
2018-03-03,60
2018-03-04,60
2018-03-05,59
2018-03-06,59
2018-03-07,59
2018-03-08,59
2018-03-09,59
2018-03-10,59
2018-03-11,59
2018-03-12,60
2018-03-13,60
2018-03-14,60
2018-03-15,60
2018-03-16,60
2018-03-17,60
2018-03-18,60
2018-03-19,58
2018-03-20,58
2018-03-21,58
2018-03-22,58
2018-03-23,58
2018-03-24,58
2018-03-25,58
2018-03-26,61
2018-03-27,61
2018-03-28,61
2018-03-29,61
2018-03-30,61
2018-03-31,61
2018-04-01,61
2018-04-02,57
2018-04-03,57
2018-04-04,57
2018-04-05,57
2018-04-06,57
2018-04-07,57
2018-04-08,57
2018-04-09,56
2018-04-10,56
2018-04-11,56
2018-04-12,56
2018-04-13,56
2018-04-14,56
2018-04-15,56
2018-04-16,58
2018-04-17,58
2018-04-18,58
2018-04-19,58
2018-04-20,58
2018-04-21,58
2018-04-22,58
2018-04-23,57
2018-04-24,57
2018-04-25,57
2018-04-26,57
2018-04-27,57
2018-04-28,57
2018-04-29,57
2018-04-30,57
2018-05-01,57
2018-05-02,57
2018-05-03,57
2018-05-04,57
2018-05-05,57
2018-05-06,57
2018-05-07,56
2018-05-08,56
2018-05-09,56
2018-05-10,56
2018-05-11,56
2018-05-12,56
2018-05-13,56
2018-05-14,56
2018-05-15,56
2018-05-16,56
2018-05-17,56
2018-05-18,56
2018-05-19,56
2018-05-20,56
2018-05-21,58
2018-05-22,58
2018-05-23,58
2018-05-24,58
2018-05-25,58
2018-05-26,58
2018-05-27,58
2018-05-28,59
2018-05-29,59
2018-05-30,59
2018-05-31,59
2018-06-01,59
2018-06-02,59
2018-06-03,59
2018-06-04,58
2018-06-05,58
2018-06-06,58
2018-06-07,58
2018-06-08,58
2018-06-09,58
2018-06-10,58
2018-06-11,54
2018-06-12,54
2018-06-13,54
2018-06-14,54
2018-06-15,54
2018-06-16,54
2018-06-17,54
2018-06-18,57
2018-06-19,57
2018-06-20,57
2018-06-21,57
2018-06-22,57
2018-06-23,57
2018-06-24,57
2018-06-25,57
2018-06-26,57
2018-06-27,57
2018-06-28,57
2018-06-29,57
2018-06-30,57
2018-07-01,57
2018-07-02,59
2018-07-03,59
2018-07-04,59
2018-07-05,59
2018-07-06,59
2018-07-07,59
2018-07-08,59
2018-07-09,79
2018-07-10,79
2018-07-11,79
2018-07-12,79
2018-07-13,79
